Date,Description,Amount
06/18/2025,Interest Charge on Purchases,103.99
06/18/2025,PLAN FEE - INSURENT AGENC,23.12
06/16/2025,AplPay PIONEER SUPERNEW YORK            NY,13.42
06/16/2025,MOBILE PAYMENT - THANK YOU,-360.61
06/14/2025,AplPay APPLE.COM/BILINTERNET CHARGE     CA,7.60
06/13/2025,LATE FEE,29.00
06/12/2025,AplPay LYFT         855-280-0278        CA,32.88
06/12/2025,AplPay NYCT PAYGO   NEW YORK            NY,2.90
06/04/2025,AplPay CROWN GROCERYNEW YORK            NY,4.68
06/01/2025,AplPay FREDERICK DELNEW YORK            NY,7.80
06/01/2025,AplPay NYCT PAYGO   NEW YORK            NY,2.90
06/01/2025,AplPay NYCT PAYGO   NEW YORK            NY,2.90
05/31/2025,AplPay ADNADER INC  NEW YORK            NY,8.84
05/30/2025,AplPay NYCT PAYGO   NEW YORK            NY,2.90
05/29/2025,AplPay ESSEX NN GOURNEW YORK            NY,20.80
05/28/2025,YOUR CASH REWARD/REFUND IS,-69.55
05/26/2025,AplPay GOURMET DELI NEW YORK            NY,7.80
05/25/2025,AplPay NYCT PAYGO   NEW YORK            NY,2.90
05/24/2025,AplPay ADNADER INC  NEW YORK            NY,14.56
05/24/2025,AplPay CVS/PHARMACY NEW YORK            NY,18.58
05/21/2025,AplPay APPLE.COM/BILINTERNET CHARGE     CA,2.99
05/21/2025,AplPay APPLE.COM/BILINTERNET CHARGE     CA,5.43
05/21/2025,OMNYPYG*            877-789-6669        NY,2.90
